Variable Name,Dimensions,Info,Units
time_whole,"('num_times: 502',)",Time [sec],sec
cycle_num,"('num_times: 502',)",Cycle count,
Time step size [sec],"('num_times: 502',)",Time step size [sec],sec
CR has started,"('num_times: 502',)","CR calculation used for timestep (0 = no, 1 = yes)",
zone_boundaries,"('num_times: 502', 'num_nodes: 101')",Zone boundary [cm],cm
zone_mass,"('num_times: 502', 'num_zones: 100')",Zone mass [g],g
ion_temperature,"('num_times: 502', 'num_zones: 100')",Ion temperature [eV],eV
radiation_temperature,"('num_times: 502', 'num_zones: 100')",Radiation temperature [eV],eV
mass_density,"('num_times: 502', 'num_zones: 100')",Mass density [g per cm3],g per cm3
mean_charge,"('num_times: 502', 'num_zones: 100')",Mean charge,
ion_pressure,"('num_times: 502', 'num_zones: 100')",Ion pressure [J per cm3],J per cm3
rad_pressure,"('num_times: 502', 'num_zones: 100')",Rad pressure [J per cm3],J per cm3
heating_term,"('num_times: 502', 'num_zones: 100')","Heating term [J per (zone.cm**N)]; N=2 planar, 0 for spherical)",J per (zone.cm**N)
cooling_term,"('num_times: 502', 'num_zones: 100')","Cooling term [J per (zone.cm**N)]; N=2 planar, 0 for spherical)",J per (zone.cm**N)
radsink_term,"('num_times: 502', 'num_zones: 100')","Radiation sink term [J per (zone.cm**N)]; N=2 planar, 0 for spherical)",J per (zone.cm**N)
ion_specific_internal_energy,"('num_times: 502', 'num_zones: 100')",Ion specific internal energy [J per (g.x)],J per (g.x)
specific_heat_ion,"('num_times: 502', 'num_zones: 100')",Ion specific heat [J/g/eV],J/g/eV
specific_heat_ele,"('num_times: 502', 'num_zones: 100')",Electron specific heat [J/g/eV],J/g/eV
rad_energy_density,"('num_times: 502', 'num_nodes_plus1: 102')",Radiation energy density [J per cm3],J per cm3
hydro_kinetic_energy,"('num_times: 502', 'num_nodes: 101')",Hydro kinetic energy [J per geofac],J per geofac
fluid_velocity,"('num_times: 502', 'num_nodes: 101')",fluid velocity [cm per sec],cm per sec
logLambda_laser,"('num_times: 502', 'num_nodes: 101')",Coulomb logarithm for lasers,
LaserPwrSrc,"('num_times: 502', 'num_zones: 100')",Laser energy deposition rates [J per (g.sec)],J per (g.sec)
LaserEnTimeIntg,"('num_times: 502', 'num_zones: 100')",Time-integrated laser energy deposition [J per (cm**X.zone)],J per (cm**X.zone)
LaserPwrSrcForBeam,"('num_times: 502', 'num_laser_beams: 1', 'num_nodes_plus1: 102')",Laser energy deposition rates for beam [J per (g.sec)],J per (g.sec)
TimeIntgLaserEnSrcForBeam,"('num_times: 502', 'num_laser_beams: 1', 'num_nodes_plus1: 102')",Time-integrated energy deposition for beam [J per (cm**X.zone)],J per (cm**X.zone)
LaserPwrDensForBeamAtZoneBd,"('num_times: 502', 'num_laser_beams: 1', 'num_nodes_plus1: 102')",Laser intensity incident at each zone boundary (planar geom. only) [W per cm**2],W per cm**2
LaserPwrDensTotForBeamAtZoneBd,"('num_times: 502', 'num_laser_beams: 1', 'num_nodes_plus1: 102')","Laser intensity incident at each zone boundary, including reflected light (planar geom. only) [W per cm**2]",W per cm**2
laserAttinuationCoeff,"('num_times: 502', 'num_laser_beams: 1', 'num_nodes_plus1: 102')",Attinuation coefficient for beam [1/cm],1/cm
LaserPwrDeliveredForBeam,"('num_times: 502', 'num_laser_beams: 1')",Laser power delivered for beam,
LaserTransJMinForBeam,"('num_times: 502', 'num_laser_beams: 1')",Laser power transmitted for beam [JMin],JMin
